"GEOGRAPHY_CODE"	"CELL"	"OBS_VALUE"
"E00062207"		242
"E00062207"		35
"E00062207"		15
"E00062207"		20
"E00062207"		207
"E00062207"		16
"E00062207"		36
"E00062207"		46
"E00062207"		50
"E00062207"		0
"E00062207"		28
"E00062207"		31
"E00062208"		490
"E00062208"		32
"E00062208"		18
"E00062208"		14
"E00062208"		458
"E00062208"		10
"E00062208"		44
"E00062208"		130
"E00062208"		66
"E00062208"		86
"E00062208"		53
"E00062208"		69
"E00062209"		226
"E00062209"		24
"E00062209"		11
"E00062209"		13
"E00062209"		202
"E00062209"		6
"E00062209"		38
"E00062209"		42
"E00062209"		44
"E00062209"		21
"E00062209"		33
"E00062209"		18
"E00062210"		113
"E00062210"		18
"E00062210"		14
"E00062210"		4
"E00062210"		95
"E00062210"		5
"E00062210"		18
"E00062210"		19
"E00062210"		20
"E00062210"		10
"E00062210"		14
"E00062210"		9
"E00062211"		143
"E00062211"		13
"E00062211"		6
"E00062211"		7
"E00062211"		130
"E00062211"		4
"E00062211"		24
"E00062211"		32
"E00062211"		22
"E00062211"		5
"E00062211"		4
"E00062211"		39
"E00062212"		240
"E00062212"		21
"E00062212"		9
"E00062212"		12
"E00062212"		219
"E00062212"		9
"E00062212"		26
"E00062212"		55
"E00062212"		48
"E00062212"		10
"E00062212"		20
"E00062212"		51
"E00174202"		380
"E00174202"		10
"E00174202"		1
"E00174202"		9
"E00174202"		370
"E00174202"		12
"E00174202"		12
"E00174202"		176
"E00174202"		48
"E00174202"		42
"E00174202"		40
"E00174202"		40
"E00174206"		353
"E00174206"		12
"E00174206"		1
"E00174206"		11
"E00174206"		341
"E00174206"		31
"E00174206"		2
"E00174206"		156
"E00174206"		68
"E00174206"		32
"E00174206"		15
"E00174206"		37
"E00174208"		279
"E00174208"		27
"E00174208"		10
"E00174208"		17
"E00174208"		252
"E00174208"		0
"E00174208"		58
"E00174208"		64
"E00174208"		64
"E00174208"		16
"E00174208"		22
"E00174208"		28
"E00062202"		262
"E00062202"		35
"E00062202"		14
"E00062202"		21
"E00062202"		227
"E00062202"		7
"E00062202"		46
"E00062202"		59
"E00062202"		48
"E00062202"		10
"E00062202"		10
"E00062202"		47
"E00062203"		273
"E00062203"		60
"E00062203"		30
"E00062203"		30
"E00062203"		213
"E00062203"		15
"E00062203"		34
"E00062203"		69
"E00062203"		32
"E00062203"		10
"E00062203"		16
"E00062203"		37
"E00062204"		292
"E00062204"		21
"E00062204"		13
"E00062204"		8
"E00062204"		271
"E00062204"		4
"E00062204"		50
"E00062204"		73
"E00062204"		58
"E00062204"		15
"E00062204"		28
"E00062204"		43
"E00062205"		272
"E00062205"		26
"E00062205"		18
"E00062205"		8
"E00062205"		246
"E00062205"		2
"E00062205"		88
"E00062205"		49
"E00062205"		48
"E00062205"		15
"E00062205"		5
"E00062205"		39
"E00062206"		284
"E00062206"		34
"E00062206"		23
"E00062206"		11
"E00062206"		250
"E00062206"		7
"E00062206"		48
"E00062206"		68
"E00062206"		46
"E00062206"		16
"E00062206"		41
"E00062206"		24
"E00062379"		366
"E00062379"		39
"E00062379"		19
"E00062379"		20
"E00062379"		327
"E00062379"		13
"E00062379"		50
"E00062379"		75
"E00062379"		50
"E00062379"		11
"E00062379"		33
"E00062379"		95
"E00062380"		154
"E00062380"		14
"E00062380"		6
"E00062380"		8
"E00062380"		140
"E00062380"		2
"E00062380"		34
"E00062380"		37
"E00062380"		30
"E00062380"		0
"E00062380"		12
"E00062380"		25
"E00062381"		125
"E00062381"		8
"E00062381"		4
"E00062381"		4
"E00062381"		117
"E00062381"		2
"E00062381"		22
"E00062381"		14
"E00062381"		38
"E00062381"		0
"E00062381"		21
"E00062381"		20
"E00062382"		211
"E00062382"		19
"E00062382"		7
"E00062382"		12
"E00062382"		192
"E00062382"		0
"E00062382"		22
"E00062382"		37
"E00062382"		42
"E00062382"		27
"E00062382"		27
"E00062382"		37
"E00062383"		193
"E00062383"		14
"E00062383"		8
"E00062383"		6
"E00062383"		179
"E00062383"		10
"E00062383"		36
"E00062383"		18
"E00062383"		26
"E00062383"		0
"E00062383"		33
"E00062383"		56
"E00062384"		337
"E00062384"		56
"E00062384"		28
"E00062384"		28
"E00062384"		281
"E00062384"		40
"E00062384"		40
"E00062384"		51
"E00062384"		76
"E00062384"		15
"E00062384"		24
"E00062384"		35
"E00062385"		354
"E00062385"		29
"E00062385"		11
"E00062385"		18
"E00062385"		325
"E00062385"		14
"E00062385"		82
"E00062385"		43
"E00062385"		84
"E00062385"		0
"E00062385"		18
"E00062385"		84
"E00062386"		268
"E00062386"		20
"E00062386"		9
"E00062386"		11
"E00062386"		248
"E00062386"		8
"E00062386"		48
"E00062386"		40
"E00062386"		52
"E00062386"		6
"E00062386"		21
"E00062386"		73
"E00174203"		190
"E00174203"		38
"E00174203"		3
"E00174203"		35
"E00174203"		152
"E00174203"		8
"E00174203"		4
"E00174203"		49
"E00174203"		64
"E00174203"		5
"E00174203"		15
"E00174203"		7
"E00174204"		308
"E00174204"		24
"E00174204"		5
"E00174204"		19
"E00174204"		284
"E00174204"		11
"E00174204"		10
"E00174204"		104
"E00174204"		72
"E00174204"		30
"E00174204"		18
"E00174204"		39
"E00174205"		325
"E00174205"		15
"E00174205"		0
"E00174205"		15
"E00174205"		310
"E00174205"		34
"E00174205"		4
"E00174205"		132
"E00174205"		54
"E00174205"		15
"E00174205"		43
"E00174205"		28
"E00174207"		308
"E00174207"		19
"E00174207"		1
"E00174207"		18
"E00174207"		289
"E00174207"		22
"E00174207"		4
"E00174207"		158
"E00174207"		56
"E00174207"		10
"E00174207"		14
"E00174207"		25
"E00174210"		219
"E00174210"		35
"E00174210"		8
"E00174210"		27
"E00174210"		184
"E00174210"		7
"E00174210"		34
"E00174210"		42
"E00174210"		52
"E00174210"		7
"E00174210"		12
"E00174210"		30
"E00062133"		455
"E00062133"		29
"E00062133"		7
"E00062133"		22
"E00062133"		426
"E00062133"		33
"E00062133"		12
"E00062133"		175
"E00062133"		96
"E00062133"		26
"E00062133"		38
"E00062133"		46
"E00062134"		429
"E00062134"		40
"E00062134"		2
"E00062134"		38
"E00062134"		389
"E00062134"		14
"E00062134"		30
"E00062134"		143
"E00062134"		60
"E00062134"		20
"E00062134"		45
"E00062134"		77
"E00062136"		250
"E00062136"		49
"E00062136"		21
"E00062136"		28
"E00062136"		201
"E00062136"		11
"E00062136"		28
"E00062136"		38
"E00062136"		48
"E00062136"		17
"E00062136"		13
"E00062136"		46
"E00174209"		255
"E00174209"		17
"E00174209"		2
"E00174209"		15
"E00174209"		238
"E00174209"		10
"E00174209"		8
"E00174209"		86
"E00174209"		38
"E00174209"		51
"E00174209"		26
"E00174209"		19
"E00174212"		232
"E00174212"		25
"E00174212"		4
"E00174212"		21
"E00174212"		207
"E00174212"		12
"E00174212"		12
"E00174212"		90
"E00174212"		50
"E00174212"		5
"E00174212"		13
"E00174212"		25
"E00062138"		302
"E00062138"		54
"E00062138"		11
"E00062138"		43
"E00062138"		248
"E00062138"		24
"E00062138"		22
"E00062138"		51
"E00062138"		62
"E00062138"		25
"E00062138"		29
"E00062138"		35
"E00062139"		328
"E00062139"		22
"E00062139"		4
"E00062139"		18
"E00062139"		306
"E00062139"		6
"E00062139"		12
"E00062139"		117
"E00062139"		62
"E00062139"		5
"E00062139"		54
"E00062139"		50
"E00062143"		333
"E00062143"		36
"E00062143"		15
"E00062143"		21
"E00062143"		297
"E00062143"		14
"E00062143"		48
"E00062143"		82
"E00062143"		38
"E00062143"		20
"E00062143"		42
"E00062143"		53
"E00062148"		297
"E00062148"		41
"E00062148"		14
"E00062148"		27
"E00062148"		256
"E00062148"		26
"E00062148"		22
"E00062148"		78
"E00062148"		62
"E00062148"		21
"E00062148"		25
"E00062148"		22
"E00062152"		303
"E00062152"		24
"E00062152"		9
"E00062152"		15
"E00062152"		279
"E00062152"		26
"E00062152"		42
"E00062152"		61
"E00062152"		52
"E00062152"		25
"E00062152"		20
"E00062152"		53
"E00062140"		293
"E00062140"		42
"E00062140"		16
"E00062140"		26
"E00062140"		251
"E00062140"		16
"E00062140"		44
