"GEOGRAPHY_CODE"	"CELL"	"OBS_VALUE"
"E06000005"	"0"	30966
"E06000005"	"1"	17609
"E06000005"	"2"	2273
"E06000005"	"3"	1546
"E06000005"	"4"	2755
"E06000005"	"5"	1879
"E06000005"	"6"	1933
"E06000005"	"7"	1011
"E06000005"	"8"	1110
"E06000005"	"9"	747
"E06000005"	"10"	103
"E06000005"	"11"	23029
"E06000047"	"0"	150027
"E06000047"	"1"	89332
"E06000047"	"2"	10419
"E06000047"	"3"	7720
"E06000047"	"4"	13474
"E06000047"	"5"	8288
"E06000047"	"6"	8797
"E06000047"	"7"	4534
"E06000047"	"8"	4240
"E06000047"	"9"	2740
"E06000047"	"10"	483
"E06000047"	"11"	101010
"E06000001"	"0"	26789
"E06000001"	"1"	14745
"E06000001"	"2"	1879
"E06000001"	"3"	1434
"E06000001"	"4"	2731
"E06000001"	"5"	1669
"E06000001"	"6"	1642
"E06000001"	"7"	940
"E06000001"	"8"	1007
"E06000001"	"9"	620
"E06000001"	"10"	122
"E06000001"	"11"	20770
"E06000002"	"0"	38097
"E06000002"	"1"	20245
"E06000002"	"2"	2935
"E06000002"	"3"	2009
"E06000002"	"4"	3560
"E06000002"	"5"	2457
"E06000002"	"6"	2328
"E06000002"	"7"	1301
"E06000002"	"8"	1905
"E06000002"	"9"	1169
"E06000002"	"10"	188
"E06000002"	"11"	32182
"E06000057"	"0"	96209
"E06000057"	"1"	59844
"E06000057"	"2"	5436
"E06000057"	"3"	4205
"E06000057"	"4"	8010
"E06000057"	"5"	4847
"E06000057"	"6"	5793
"E06000057"	"7"	3164
"E06000057"	"8"	2492
"E06000057"	"9"	2036
"E06000057"	"10"	382
"E06000057"	"11"	62137
"E06000003"	"0"	40583
"E06000003"	"1"	23830
"E06000003"	"2"	2671
"E06000003"	"3"	2039
"E06000003"	"4"	3795
"E06000003"	"5"	2258
"E06000003"	"6"	2397
"E06000003"	"7"	1376
"E06000003"	"8"	1192
"E06000003"	"9"	878
"E06000003"	"10"	147
"E06000003"	"11"	28196
"E06000004"	"0"	56476
"E06000004"	"1"	31548
"E06000004"	"2"	4186
"E06000004"	"3"	2932
"E06000004"	"4"	5219
"E06000004"	"5"	3575
"E06000004"	"6"	3439
"E06000004"	"7"	1956
"E06000004"	"8"	2090
"E06000004"	"9"	1306
"E06000004"	"10"	225
"E06000004"	"11"	42940
"E08000037"	"0"	58326
"E08000037"	"1"	34384
"E08000037"	"2"	4262
"E08000037"	"3"	3015
"E08000037"	"4"	5201
"E08000037"	"5"	3380
"E08000037"	"6"	3327
"E08000037"	"7"	1692
"E08000037"	"8"	1766
"E08000037"	"9"	1115
"E08000037"	"10"	184
"E08000037"	"11"	40460
"E08000021"	"0"	67864
"E08000021"	"1"	37136
"E08000021"	"2"	5279
"E08000021"	"3"	3448
"E08000021"	"4"	5940
