"GEOGRAPHY_CODE"	"CELL"	"OBS_VALUE"
"E02002559"	"0"	3646
"E02002559"	"1"	2
"E02002559"	"2"	26
"E02002559"	"3"	118
"E02002559"	"4"	393
"E02002559"	"5"	736
"E02002559"	"6"	799
"E02002559"	"7"	585
"E02002559"	"8"	492
"E02002559"	"9"	495
"E02002560"	"0"	2511
"E02002560"	"1"	1
"E02002560"	"2"	14
"E02002560"	"3"	40
"E02002560"	"4"	420
"E02002560"	"5"	827
"E02002560"	"6"	717
"E02002560"	"7"	238
"E02002560"	"8"	145
"E02002560"	"9"	109
"E02002561"	"0"	2507
"E02002561"	"1"	1
"E02002561"	"2"	8
"E02002561"	"3"	117
"E02002561"	"4"	472
"E02002561"	"5"	702
"E02002561"	"6"	544
"E02002561"	"7"	362
"E02002561"	"8"	214
"E02002561"	"9"	87
"E02002562"	"0"	2933
"E02002562"	"1"	6
"E02002562"	"2"	85
"E02002562"	"3"	459
"E02002562"	"4"	814
"E02002562"	"5"	757
"E02002562"	"6"	487
"E02002562"	"7"	154
"E02002562"	"8"	105
"E02002562"	"9"	66
"E02002563"	"0"	2343
"E02002563"	"1"	3
"E02002563"	"2"	14
"E02002563"	"3"	121
"E02002563"	"4"	543
"E02002563"	"5"	733
"E02002563"	"6"	596
"E02002563"	"7"	196
"E02002563"	"8"	93
"E02002563"	"9"	44
"E02002564"	"0"	4137
"E02002564"	"1"	6
"E02002564"	"2"	43
"E02002564"	"3"	447
"E02002564"	"4"	747
"E02002564"	"5"	1218
"E02002564"	"6"	1106
"E02002564"	"7"	364
"E02002564"	"8"	148
"E02002564"	"9"	58
"E02002565"	"0"	2667
"E02002565"	"1"	6
"E02002565"	"2"	19
"E02002565"	"3"	89
"E02002565"	"4"	768
"E02002565"	"5"	869
"E02002565"	"6"	650
"E02002565"	"7"	153
"E02002565"	"8"	74
"E02002565"	"9"	39
"E02002566"	"0"	3475
"E02002566"	"1"	82
"E02002566"	"2"	163
"E02002566"	"3"	648
"E02002566"	"4"	848
"E02002566"	"5"	859
"E02002566"	"6"	470
"E02002566"	"7"	161
"E02002566"	"8"	118
"E02002566"	"9"	126
"E02002567"	"0"	3209
"E02002567"	"1"	7
"E02002567"	"2"	67
"E02002567"	"3"	225
"E02002567"	"4"	899
"E02002567"	"5"	1016
"E02002567"	"6"	707
"E02002567"	"7"	201
"E02002567"	"8"	64
"E02002567"	"9"	23
"E02002568"	"0"	2634
"E02002568"	"1"	17
"E02002568"	"2"	88
"E02002568"	"3"	270
"E02002568"	"4"	343
"E02002568"	"5"	259
"E02002568"	"6"	507
"E02002568"	"7"	411
"E02002568"	"8"	343
"E02002568"	"9"	396
"E02002569"	"0"	3912
"E02002569"	"1"	2
"E02002569"	"2"	11
"E02002569"	"3"	154
"E02002569"	"4"	402
"E02002569"	"5"	559
"E02002569"	"6"	1110
"E02002569"	"7"	768
"E02002569"	"8"	472
"E02002569"	"9"	434
"E02002570"	"0"	3723
"E02002570"	"1"	15
"E02002570"	"2"	86
"E02002570"	"3"	540
"E02002570"	"4"	945
"E02002570"	"5"	1054
"E02002570"	"6"	757
"E02002570"	"7"	191
"E02002570"	"8"	78
"E02002570"	"9"	57
"E02002571"	"0"	2758
"E02002571"	"1"	3
"E02002571"	"2"	33
"E02002571"	"3"	222
"E02002571"	"4"	717
"E02002571"	"5"	978
"E02002571"	"6"	576
"E02002571"	"7"	159
"E02002571"	"8"	50
"E02002571"	"9"	20
"E02002572"	"0"	2727
"E02002572"	"1"	2
"E02002572"	"2"	51
"E02002572"	"3"	241
"E02002572"	"4"	639
"E02002572"	"5"	794
"E02002572"	"6"	546
"E02002572"	"7"	216
"E02002572"	"8"	116
"E02002572"	"9"	122
"E02002573"	"0"	3488
"E02002573"	"1"	1
"E02002573"	"2"	28
"E02002573"	"3"	140
"E02002573"	"4"	443
"E02002573"	"5"	778
"E02002573"	"6"	693
"E02002573"	"7"	622
"E02002573"	"8"	364
"E02002573"	"9"	419
"E02004290"	"0"	2518
"E02004290"	"1"	1
"E02004290"	"2"	41
"E02004290"	"3"	90
"E02004290"	"4"	390
"E02004290"	"5"	651
"E02004290"	"6"	603
"E02004290"	"7"	421
"E02004290"	"8"	211
"E02004290"	"9"	110
"E02004291"	"0"	3131
"E02004291"	"1"	3
"E02004291"	"2"	25
"E02004291"	"3"	202
"E02004291"	"4"	933
"E02004291"	"5"	1119
"E02004291"	"6"	534
"E02004291"	"7"	174
"E02004291"	"8"	86
"E02004291"	"9"	55
"E02004292"	"0"	3523
"E02004292"	"1"	10
"E02004292"	"2"	23
"E02004292"	"3"	274
"E02004292"	"4"	569
"E02004292"	"5"	910
"E02004292"	"6"	817
"E02004292"	"7"	455
"E02004292"	"8"	275
"E02004292"	"9"	190
"E02004293"	"0"	4412
"E02004293"	"1"	14
"E02004293"	"2"	51
"E02004293"	"3"	720
"E02004293"	"4"	779
"E02004293"	"5"	1673
"E02004293"	"6"	772
"E02004293"	"7"	202
"E02004293"	"8"	114
"E02004293"	"9"	87
"E02004294"	"0"	3655
"E02004294"	"1"	4
"E02004294"	"2"	25
"E02004294"	"3"	141
