"GEOGRAPHY_CODE"	"CELL"	"OBS_VALUE"
"E06000005"	"0"	46670
"E06000005"	"1"	154
"E06000005"	"2"	736
"E06000005"	"3"	3831
"E06000005"	"4"	9393
"E06000005"	"5"	12139
"E06000005"	"6"	10265
"E06000005"	"7"	4781
"E06000005"	"8"	2876
"E06000005"	"9"	2495
"E06000047"	"0"	223803
"E06000047"	"1"	281
"E06000047"	"2"	2078
"E06000047"	"3"	13929
"E06000047"	"4"	52693
"E06000047"	"5"	65226
"E06000047"	"6"	44911
"E06000047"	"7"	21492
"E06000047"	"8"	12717
"E06000047"	"9"	10476
"E06000001"	"0"	40434
"E06000001"	"1"	95
"E06000001"	"2"	502
"E06000001"	"3"	3456
"E06000001"	"4"	8535
"E06000001"	"5"	10786
"E06000001"	"6"	8563
"E06000001"	"7"	3953
"E06000001"	"8"	2354
"E06000001"	"9"	2190
"E06000002"	"0"	57203
"E06000002"	"1"	235
"E06000002"	"2"	959
"E06000002"	"3"	5029
"E06000002"	"4"	10087
"E06000002"	"5"	18630
"E06000002"	"6"	12446
"E06000002"	"7"	5130
"E06000002"	"8"	2691
"E06000002"	"9"	1996
"E06000057"	"0"	138534
"E06000057"	"1"	275
"E06000057"	"2"	1611
"E06000057"	"3"	10068
"E06000057"	"4"	28562
"E06000057"	"5"	34943
"E06000057"	"6"	27142
"E06000057"	"7"	15046
"E06000057"	"8"	10106
"E06000057"	"9"	10781
"E06000003"	"0"	59605
"E06000003"	"1"	114
"E06000003"	"2"	625
"E06000003"	"3"	4500
"E06000003"	"4"	11296
"E06000003"	"5"	17351
"E06000003"	"6"	13748
"E06000003"	"7"	6207
"E06000003"	"8"	3358
"E06000003"	"9"	2406
"E06000004"	"0"	79159
"E06000004"	"1"	212
"E06000004"	"2"	922
"E06000004"	"3"	5890
"E06000004"	"4"	12586
"E06000004"	"5"	22799
"E06000004"	"6"	17618
"E06000004"	"7"	8816
"E06000004"	"8"	5438
"E06000004"	"9"	4878
"E08000037"	"0"	89154
"E08000037"	"1"	306
"E08000037"	"2"	1657
"E08000037"	"3"	8702
"E08000037"	"4"	25235
"E08000037"	"5"	24835
"E08000037"	"6"	15409
"E08000037"	"7"	6985
"E08000037"	"8"	3486
"E08000037"	"9"	2539
"E08000021"	"0"	117153
"E08000021"	"1"	672
"E08000021"	"2"	3527
"E08000021"	"3"	12460
"E08000021"	"4"	29594
"E08000021"	"5"	29965
"E08000021"	"6"	19980
"E08000021"	"7"	10009
"E08000021"	"8"	5880
"E08000021"	"9"	5066
"E08000022"	"0"	91295
"E08000022"	"1"	206
"E08000022"	"2"	1352
"E08000022"	"3"	8745
"E08000022"	"4"	22186
"E08000022"	"5"	23533
"E08000022"	"6"	17618
