"GEOGRAPHY_CODE"	"CELL"	"OBS_VALUE"
"E02002559"		8842
"E02002559"		8533
"E02002559"		38
"E02002559"		42
"E02002559"		44
"E02002559"		185
"E02002560"		5997
"E02002560"		5819
"E02002560"		17
"E02002560"		20
"E02002560"		27
"E02002560"		114
"E02002561"		5741
"E02002561"		5521
"E02002561"		12
"E02002561"		35
"E02002561"		25
"E02002561"		148
"E02002562"		6066
"E02002562"		5740
"E02002562"		42
"E02002562"		97
"E02002562"		59
"E02002562"		128
"E02002563"		5463
"E02002563"		5271
"E02002563"		7
"E02002563"		32
"E02002563"		22
"E02002563"		131
"E02002564"		9502
"E02002564"		9195
"E02002564"		12
"E02002564"		46
"E02002564"		73
"E02002564"		176
"E02002565"		5450
"E02002565"		5169
"E02002565"		29
"E02002565"		70
"E02002565"		63
"E02002565"		119
"E02002566"		6918
"E02002566"		6011
"E02002566"		139
"E02002566"		224
"E02002566"		196
"E02002566"		348
"E02002567"		7254
"E02002567"		6851
"E02002567"		59
"E02002567"		65
"E02002567"		78
"E02002567"		201
"E02002568"		5905
"E02002568"		5570
"E02002568"		35
"E02002568"		50
"E02002568"		56
"E02002568"		194
"E02002569"		9095
"E02002569"		8702
"E02002569"		35
"E02002569"		34
"E02002569"		64
"E02002569"		260
"E02002570"		8213
"E02002570"		7656
"E02002570"		93
"E02002570"		137
"E02002570"		82
"E02002570"		245
"E02002571"		6516
"E02002571"		6073
"E02002571"		57
"E02002571"		137
"E02002571"		82
"E02002571"		167
"E02002572"		6312
"E02002572"		5932
"E02002572"		58
"E02002572"		84
"E02002572"		68
"E02002572"		170
"E02002573"		8290
"E02002573"		7982
"E02002573"		18
"E02002573"		32
"E02002573"		52
"E02002573"		206
"E02004290"		5981
"E02004290"		5846
"E02004290"		22
"E02004290"		15
"E02004290"		11
"E02004290"		87
"E02004291"		6787
"E02004291"		6654
"E02004291"		7
"E02004291"		29
"E02004291"		15
"E02004291"		82
"E02004292"		7916
"E02004292"		7700
"E02004292"		26
"E02004292"		35
"E02004292"		31
"E02004292"		124
"E02004293"		9379
"E02004293"		9156
"E02004293"		27
"E02004293"		25
"E02004293"		35
"E02004293"		136
"E02004294"		8484
"E02004294"		8269
"E02004294"		17
"E02004294"		17
"E02004294"		29
"E02004294"		152
"E02004295"		7537
"E02004295"		7395
"E02004295"		21
"E02004295"		15
"E02004295"		20
"E02004295"		86
"E02004296"		8033
"E02004296"		7828
"E02004296"		12
"E02004296"		24
"E02004296"		49
"E02004296"		120
"E02004297"		7900
"E02004297"		7740
"E02004297"		17
"E02004297"		16
"E02004297"		28
"E02004297"		99
"E02004298"		9703
"E02004298"		9466
"E02004298"		26
"E02004298"		31
"E02004298"		39
"E02004298"		141
"E02004299"		8474
"E02004299"		8298
"E02004299"		34
"E02004299"		16
"E02004299"		16
"E02004299"		110
"E02004300"		7686
"E02004300"		7548
"E02004300"		15
"E02004300"		22
"E02004300"		32
"E02004300"		69
"E02004301"		8894
"E02004301"		8724
"E02004301"		9
"E02004301"		22
"E02004301"		37
"E02004301"		102
"E02004302"		7747
"E02004302"		7611
"E02004302"		8
"E02004302"		22
"E02004302"		23
"E02004302"		83
"E02004303"		11457
"E02004303"		10952
"E02004303"		36
"E02004303"		203
"E02004303"		132
"E02004303"		134
"E02004304"		8892
"E02004304"		8592
"E02004304"		27
"E02004304"		88
"E02004304"		71
"E02004304"		114
"E02004305"		8640
"E02004305"		8335
"E02004305"		31
"E02004305"		95
"E02004305"		44
"E02004305"		135
"E02004306"		5789
"E02004306"		5633
"E02004306"		8
"E02004306"		37
"E02004306"		26
"E02004306"		85
"E02004307"		6570
"E02004307"		6418
"E02004307"		16
"E02004307"		24
"E02004307"		20
"E02004307"		92
"E02004308"		7819
"E02004308"		7380
"E02004308"		37
"E02004308"		57
"E02004308"		93
"E02004308"		252
"E02004309"		5902
"E02004309"		5448
"E02004309"		87
"E02004309"		90
"E02004309"		125
"E02004309"		152
"E02004310"		7962
"E02004310"		7697
"E02004310"		20
"E02004310"		37
"E02004310"		56
"E02004310"		152
"E02004311"		9108
"E02004311"		8857
"E02004311"		45
"E02004311"		32
"E02004311"		52
"E02004311"		122
"E02004312"		7549
"E02004312"		7255
"E02004312"		51
"E02004312"		54
"E02004312"		56
"E02004312"		133
"E02004313"		6684
"E02004313"		5977
"E02004313"		212
"E02004313"		183
"E02004313"		144
"E02004313"		168
"E02004314"		12248
"E02004314"		10160
"E02004314"		952
"E02004314"		443
"E02004314"		200
"E02004314"		493
"E02004315"		10184
"E02004315"		8983
"E02004315"		360
"E02004315"		225
"E02004315"		189
"E02004315"		427
"E02004316"		5683
"E02004316"		5521
"E02004316"		8
"E02004316"		23
"E02004316"		23
"E02004316"		108
"E02004317"		7663
"E02004317"		7442
"E02004317"		22
"E02004317"		36
"E02004317"		33
"E02004317"		130
"E02004318"		6099
"E02004318"		5710
"E02004318"		71
"E02004318"		102
"E02004318"		62
"E02004318"		154
"E02004319"		7474
"E02004319"		7283
