"GEOGRAPHY_CODE"	"CELL"	"OBS_VALUE"
"E06000005"		105564
"E06000005"		1344
"E06000005"		1371
"E06000005"		1302
"E06000005"		1297
"E06000005"		1265
"E06000005"		1289
"E06000005"		1271
"E06000005"		1230
"E06000005"		1215
"E06000005"		1069
"E06000005"		1147
"E06000005"		1236
"E06000005"		1286
"E06000005"		1292
"E06000005"		1263
"E06000005"		1330
"E06000005"		1346
"E06000005"		1375
"E06000005"		1224
"E06000005"		1133
"E06000005"		1198
"E06000005"		1101
"E06000005"		1154
"E06000005"		1307
"E06000005"		1311
"E06000005"		1323
"E06000005"		1356
"E06000005"		1316
"E06000005"		1277
"E06000005"		1335
"E06000005"		1328
"E06000005"		1338
"E06000005"		1334
"E06000005"		1205
"E06000005"		1224
"E06000005"		1231
"E06000005"		1310
"E06000005"		1371
"E06000005"		1392
"E06000005"		1543
"E06000005"		1516
"E06000005"		1536
"E06000005"		1460
"E06000005"		1464
"E06000005"		1665
"E06000005"		1630
"E06000005"		1613
"E06000005"		1615
"E06000005"		1601
"E06000005"		1535
"E06000005"		1581
"E06000005"		1424
"E06000005"		1461
"E06000005"		1457
"E06000005"		1335
"E06000005"		1318
"E06000005"		1176
"E06000005"		1337
"E06000005"		1253
"E06000005"		1224
"E06000005"		1231
"E06000005"		1267
"E06000005"		1339
"E06000005"		1422
"E06000005"		1426
"E06000005"		1173
"E06000005"		1180
"E06000005"		1038
"E06000005"		930
"E06000005"		884
"E06000005"		901
"E06000005"		929
"E06000005"		961
"E06000005"		875
"E06000005"		846
"E06000005"		770
"E06000005"		766
"E06000005"		729
"E06000005"		669
"E06000005"		592
"E06000005"		598
"E06000005"		575
"E06000005"		516
"E06000005"		470
"E06000005"		487
"E06000005"		441
"E06000005"		389
"E06000005"		318
"E06000005"		289
"E06000005"		303
"E06000005"		206
"E06000005"		148
"E06000005"		104
"E06000005"		91
"E06000005"		69
"E06000005"		50
"E06000005"		34
"E06000005"		26
"E06000005"		32
"E06000005"		22
"E06000005"		28
"E06000047"		513242
"E06000047"		5884
"E06000047"		5645
"E06000047"		5602
"E06000047"		5826
"E06000047"		5617
"E06000047"		5366
"E06000047"		5325
"E06000047"		5127
"E06000047"		4947
"E06000047"		4894
"E06000047"		5176
"E06000047"		5421
"E06000047"		5650
"E06000047"		5827
"E06000047"		5795
"E06000047"		5882
"E06000047"		5947
"E06000047"		6160
"E06000047"		6979
"E06000047"		8299
"E06000047"		8453
"E06000047"		7688
"E06000047"		6788
"E06000047"		6352
"E06000047"		5874
"E06000047"		6367
"E06000047"		6064
"E06000047"		5968
"E06000047"		6108
"E06000047"		6121
"E06000047"		6055
"E06000047"		6136
"E06000047"		5621
"E06000047"		5149
"E06000047"		5172
"E06000047"		5518
