"GEOGRAPHY_CODE"	"CELL"	"OBS_VALUE"
"E02002559"		8828
"E02002559"		6866
"E02002559"		2394
"E02002559"		4472
"E02002559"		29
"E02002559"		336
"E02002559"		242
"E02002559"		94
"E02002559"		1503
"E02002559"		1060
"E02002559"		225
"E02002559"		93
"E02002559"		125
"E02002559"		94
"E02002560"		5994
"E02002560"		5067
"E02002560"		1753
"E02002560"		3314
"E02002560"		5
"E02002560"		180
"E02002560"		152
"E02002560"		28
"E02002560"		711
"E02002560"		625
"E02002560"		2
"E02002560"		84
"E02002560"		0
"E02002560"		31
"E02002561"		5709
"E02002561"		4614
"E02002561"		1795
"E02002561"		2819
"E02002561"		14
"E02002561"		553
"E02002561"		188
"E02002561"		365
"E02002561"		502
"E02002561"		445
"E02002561"		3
"E02002561"		47
"E02002561"		7
"E02002561"		26
"E02002562"		5973
"E02002562"		3240
"E02002562"		993
"E02002562"		2247
"E02002562"		4
"E02002562"		1018
"E02002562"		685
"E02002562"		333
"E02002562"		1658
"E02002562"		1592
"E02002562"		1
"E02002562"		57
"E02002562"		8
"E02002562"		53
"E02002563"		5286
"E02002563"		3611
"E02002563"		1250
"E02002563"		2361
"E02002563"		12
"E02002563"		1125
"E02002563"		912
"E02002563"		213
"E02002563"		497
"E02002563"		448
"E02002563"		0
"E02002563"		49
"E02002563"		0
"E02002563"		41
"E02002564"		9489
"E02002564"		5872
"E02002564"		1824
"E02002564"		4048
"E02002564"		66
"E02002564"		2650
"E02002564"		1995
"E02002564"		655
"E02002564"		855
"E02002564"		762
"E02002564"		1
"E02002564"		82
"E02002564"		10
"E02002564"		46
"E02002565"		5412
"E02002565"		3581
"E02002565"		1227
"E02002565"		2354
"E02002565"		6
"E02002565"		55
"E02002565"		18
"E02002565"		37
"E02002565"		1716
"E02002565"		1578
"E02002565"		12
"E02002565"		126
"E02002565"		0
"E02002565"		54
"E02002566"		6757
"E02002566"		2798
"E02002566"		913
"E02002566"		1885
"E02002566"		12
"E02002566"		756
"E02002566"		283
"E02002566"		473
"E02002566"		3115
"E02002566"		2914
"E02002566"		48
"E02002566"		132
"E02002566"		21
"E02002566"		76
"E02002567"		7157
"E02002567"		3921
"E02002567"		1588
"E02002567"		2333
"E02002567"		18
"E02002567"		2001
"E02002567"		1726
"E02002567"		275
"E02002567"		1155
"E02002567"		1050
"E02002567"		0
"E02002567"		93
"E02002567"		12
"E02002567"		62
"E02002568"		5791
"E02002568"		4726
"E02002568"		1844
"E02002568"		2882
"E02002568"		11
"E02002568"		257
"E02002568"		94
"E02002568"		163
"E02002568"		764
"E02002568"		705
"E02002568"		3
"E02002568"		50
"E02002568"		6
"E02002568"		33
"E02002569"		8968
"E02002569"		8143
"E02002569"		4011
"E02002569"		4132
"E02002569"		34
"E02002569"		210
"E02002569"		44
"E02002569"		166
"E02002569"		503
"E02002569"		439
"E02002569"		9
"E02002569"		50
"E02002569"		5
"E02002569"		78
"E02002570"		7945
"E02002570"		4408
"E02002570"		1531
"E02002570"		2877
"E02002570"		27
"E02002570"		1384
"E02002570"		1059
"E02002570"		325
"E02002570"		2052
"E02002570"		1922
"E02002570"		5
"E02002570"		104
"E02002570"		21
"E02002570"		74
"E02002571"		6478
"E02002571"		3913
"E02002571"		1194
"E02002571"		2719
"E02002571"		28
"E02002571"		1333
"E02002571"		1241
"E02002571"		92
"E02002571"		1159
"E02002571"		1033
"E02002571"		4
"E02002571"		102
"E02002571"		20
"E02002571"		45
"E02002572"		6246
"E02002572"		3125
"E02002572"		1070
"E02002572"		2055
"E02002572"		43
"E02002572"		1605
"E02002572"		1297
"E02002572"		308
"E02002572"		1435
"E02002572"		1326
"E02002572"		5
"E02002572"		96
"E02002572"		8
"E02002572"		38
"E02002573"		8078
"E02002573"		6550
"E02002573"		2504
"E02002573"		4046
"E02002573"		27
"E02002573"		526
"E02002573"		369
"E02002573"		157
"E02002573"		906
"E02002573"		837
"E02002573"		13
"E02002573"		53
"E02002573"		3
"E02002573"		69
"E02004290"		5981
"E02004290"		5188
"E02004290"		1745
"E02004290"		3443
"E02004290"		1
"E02004290"		328
"E02004290"		88
"E02004290"		240
"E02004290"		431
"E02004290"		369
"E02004290"		4
"E02004290"		58
"E02004290"		0
"E02004290"		33
"E02004291"		6702
"E02004291"		4376
"E02004291"		1414
"E02004291"		2962
"E02004291"		25
"E02004291"		1373
"E02004291"		577
"E02004291"		796
"E02004291"		887
"E02004291"		830
"E02004291"		0
"E02004291"		44
"E02004291"		13
"E02004291"		41
"E02004292"		7916
"E02004292"		6468
"E02004292"		2839
"E02004292"		3629
"E02004292"		31
"E02004292"		668
"E02004292"		256
"E02004292"		412
"E02004292"		682
"E02004292"		599
"E02004292"		11
"E02004292"		71
"E02004292"		1
"E02004292"		67
"E02004293"		9278
"E02004293"		5168
"E02004293"		1504
"E02004293"		3664
"E02004293"		53
"E02004293"		3106
"E02004293"		1196
"E02004293"		1910
"E02004293"		875
"E02004293"		784
"E02004293"		2
"E02004293"		72
"E02004293"		17
"E02004293"		76
"E02004294"		8421
"E02004294"		7515
"E02004294"		2940
"E02004294"		4575
"E02004294"		14
"E02004294"		71
"E02004294"		28
"E02004294"		43
"E02004294"		766
"E02004294"		702
"E02004294"		2
"E02004294"		61
"E02004294"		1
"E02004294"		55
"E02004295"		7459
"E02004295"		5577
"E02004295"		2039
"E02004295"		3538
"E02004295"		8
"E02004295"		1084
"E02004295"		393
"E02004295"		691
"E02004295"		732
"E02004295"		678
"E02004295"		0
"E02004295"		41
"E02004295"		13
"E02004295"		58
"E02004296"		7936
"E02004296"		5564
"E02004296"		1918
"E02004296"		3646
"E02004296"		15
"E02004296"		1674
"E02004296"		714
"E02004296"		960
"E02004296"		618
"E02004296"		559
"E02004296"		4
"E02004296"		51
"E02004296"		4
"E02004296"		65
"E02004297"		7825
"E02004297"		6344
"E02004297"		2275
"E02004297"		4069
"E02004297"		17
"E02004297"		738
"E02004297"		413
"E02004297"		325
"E02004297"		662
"E02004297"		594
"E02004297"		2
"E02004297"		62
"E02004297"		4
"E02004297"		64
"E02004298"		9486
"E02004298"		7642
"E02004298"		3079
"E02004298"		4563
"E02004298"		5
"E02004298"		960
"E02004298"		488
"E02004298"		472
"E02004298"		818
"E02004298"		732
"E02004298"		1
"E02004298"		78
"E02004298"		7
"E02004298"		61
"E02004299"		8352
"E02004299"		5956
"E02004299"		2128
"E02004299"		3828
"E02004299"		4
"E02004299"		1274
"E02004299"		734
"E02004299"		540
"E02004299"		1078
"E02004299"		957
"E02004299"		5
"E02004299"		101
"E02004299"		15
"E02004299"		40
"E02004300"		7663
"E02004300"		4694
"E02004300"		1766
"E02004300"		2928
"E02004300"		11
"E02004300"		1935
"E02004300"		1112
"E02004300"		823
"E02004300"		989
"E02004300"		927
"E02004300"		0
"E02004300"		55
"E02004300"		7
"E02004300"		34
"E02004301"		8770
"E02004301"		4682
"E02004301"		1504
"E02004301"		3178
"E02004301"		7
"E02004301"		2968
"E02004301"		1744
"E02004301"		1224
"E02004301"		1053
"E02004301"		962
"E02004301"		2
"E02004301"		69
"E02004301"		20
"E02004301"		60
"E02004302"		7692
"E02004302"		5230
"E02004302"		2037
"E02004302"		3193
"E02004302"		7
"E02004302"		723
"E02004302"		321
"E02004302"		402
"E02004302"		1672
"E02004302"		1527
"E02004302"		0
"E02004302"		126
"E02004302"		19
"E02004302"		60
"E02004303"		11304
"E02004303"		8335
"E02004303"		2885
"E02004303"		5450
"E02004303"		34
"E02004303"		833
"E02004303"		271
"E02004303"		562
"E02004303"		2002
"E02004303"		1847
"E02004303"		17
"E02004303"		125
"E02004303"		13
"E02004303"		100
"E02004304"		8770
"E02004304"		6280
"E02004304"		2116
"E02004304"		4164
"E02004304"		3
"E02004304"		1310
"E02004304"		646
"E02004304"		664
"E02004304"		1102
"E02004304"		1005
"E02004304"		1
"E02004304"		84
"E02004304"		12
"E02004304"		75
"E02004305"		8607
"E02004305"		5561
"E02004305"		1876
"E02004305"		3685
"E02004305"		4
"E02004305"		1986
"E02004305"		809
"E02004305"		1177
"E02004305"		978
"E02004305"		878
"E02004305"		7
"E02004305"		72
"E02004305"		21
"E02004305"		78
"E02004306"		5785
"E02004306"		4583
"E02004306"		2176
"E02004306"		2407
"E02004306"		6
"E02004306"		672
"E02004306"		355
"E02004306"		317
"E02004306"		453
"E02004306"		390
"E02004306"		16
"E02004306"		43
"E02004306"		4
"E02004306"		71
"E02004307"		6458
"E02004307"		4663
"E02004307"		1776
"E02004307"		2887
"E02004307"		45
"E02004307"		984
"E02004307"		449
"E02004307"		535
"E02004307"		715
"E02004307"		651
"E02004307"		2
"E02004307"		60
"E02004307"		2
"E02004307"		51
"E02004308"		6763
"E02004308"		5977
"E02004308"		2568
"E02004308"		3409
"E02004308"		21
"E02004308"		156
"E02004308"		56
"E02004308"		100
"E02004308"		566
"E02004308"		495
"E02004308"		4
"E02004308"		59
"E02004308"		8
"E02004308"		43
"E02004309"		5842
"E02004309"		3897
"E02004309"		1437
"E02004309"		2460
"E02004309"		13
"E02004309"		1084
"E02004309"		890
"E02004309"		194
"E02004309"		823
"E02004309"		750
"E02004309"		4
"E02004309"		51
"E02004309"		18
"E02004309"		25
"E02004310"		7895
"E02004310"		5287
"E02004310"		1868
"E02004310"		3419
"E02004310"		11
"E02004310"		1741
"E02004310"		1541
"E02004310"		200
"E02004310"		798
"E02004310"		699
"E02004310"		3
"E02004310"		86
"E02004310"		10
"E02004310"		58
"E02004311"		9072
"E02004311"		6452
"E02004311"		2336
"E02004311"		4116
"E02004311"		47
"E02004311"		1853
"E02004311"		1687
"E02004311"		166
"E02004311"		661
"E02004311"		581
"E02004311"		6
"E02004311"		65
"E02004311"		9
"E02004311"		59
"E02004312"		7492
"E02004312"		6518
"E02004312"		3285
"E02004312"		3233
"E02004312"		2
"E02004312"		263
"E02004312"		247
"E02004312"		16
"E02004312"		656
"E02004312"		600
"E02004312"		2
"E02004312"		51
"E02004312"		3
"E02004312"		53
"E02004313"		6671
"E02004313"		2465
"E02004313"		1151
"E02004313"		1314
"E02004313"		33
"E02004313"		2513
"E02004313"		1280
"E02004313"		1233
"E02004313"		1634
"E02004313"		1551
"E02004313"		8
"E02004313"		58
"E02004313"		17
"E02004313"		26
"E02004314"		6044
"E02004314"		1457
"E02004314"		865
"E02004314"		592
"E02004314"		30
"E02004314"		579
"E02004314"		381
"E02004314"		198
"E02004314"		3813
"E02004314"		3653
"E02004314"		41
"E02004314"		73
"E02004314"		46
"E02004314"		165
"E02004315"		9750
"E02004315"		6694
"E02004315"		2900
"E02004315"		3794
"E02004315"		21
"E02004315"		174
"E02004315"		97
"E02004315"		77
"E02004315"		2772
"E02004315"		2648
"E02004315"		10
"E02004315"		100
"E02004315"		14
"E02004315"		89
"E02004316"		5683
"E02004316"		3874
"E02004316"		1455
"E02004316"		2419
"E02004316"		28
"E02004316"		1023
"E02004316"		870
"E02004316"		153
"E02004316"		712
"E02004316"		634
"E02004316"		0
"E02004316"		74
"E02004316"		4
"E02004316"		46
"E02004317"		7590
"E02004317"		4578
"E02004317"		1673
"E02004317"		2905
"E02004317"		2
"E02004317"		2293
"E02004317"		1948
"E02004317"		345
"E02004317"		653
"E02004317"		582
"E02004317"		2
"E02004317"		69
"E02004317"		0
"E02004317"		64
"E02004318"		5968
"E02004318"		4248
"E02004318"		1655
"E02004318"		2593
"E02004318"		23
"E02004318"		915
"E02004318"		720
"E02004318"		195
"E02004318"		727
"E02004318"		674
"E02004318"		1
"E02004318"		51
"E02004318"		1
"E02004318"		55
"E02004319"		7456
"E02004319"		5375
"E02004319"		1962
"E02004319"		3413
"E02004319"		1
"E02004319"		1400
"E02004319"		1260
"E02004319"		140
"E02004319"		633
"E02004319"		555
"E02004319"		4
"E02004319"		58
"E02004319"		16
"E02004319"		47
"E02004320"		8858
"E02004320"		7023
"E02004320"		2392
"E02004320"		4631
"E02004320"		12
"E02004320"		897
"E02004320"		754
"E02004320"		143
"E02004320"		832
"E02004320"		737
"E02004320"		13
"E02004320"		79
"E02004320"		3
"E02004320"		94
"E02004321"		8192
"E02004321"		5763
"E02004321"		2247
"E02004321"		3516
"E02004321"		4
"E02004321"		849
"E02004321"		680
"E02004321"		169
"E02004321"		1512
"E02004321"		1394
"E02004321"		5
"E02004321"		111
"E02004321"		2
"E02004321"		64
"E02004322"		8436
"E02004322"		4044
"E02004322"		1485
"E02004322"		2559
"E02004322"		5
"E02004322"		3492
"E02004322"		2891
"E02004322"		601
"E02004322"		791
"E02004322"		686
"E02004322"		5
"E02004322"		83
"E02004322"		17
"E02004322"		104
"E02004323"		7802
"E02004323"		5688
"E02004323"		2095
"E02004323"		3593
"E02004323"		7
"E02004323"		889
"E02004323"		629
"E02004323"		260
"E02004323"		1142
"E02004323"		1073
"E02004323"		9
"E02004323"		51
"E02004323"		9
"E02004323"		76
"E02004324"		5732
"E02004324"		4094
"E02004324"		1681
"E02004324"		2413
"E02004324"		3
"E02004324"		633
"E02004324"		275
"E02004324"		358
"E02004324"		956
"E02004324"		890
"E02004324"		0
"E02004324"		50
"E02004324"		16
"E02004324"		46
"E02004325"		8532
"E02004325"		4575
"E02004325"		1425
"E02004325"		3150
"E02004325"		17
"E02004325"		2806
"E02004325"		2565
"E02004325"		241
"E02004325"		1033
"E02004325"		968
"E02004325"		0
"E02004325"		57
"E02004325"		8
"E02004325"		101
"E02004326"		6144
"E02004326"		4028
"E02004326"		1556
"E02004326"		2472
"E02004326"		8
"E02004326"		1395
"E02004326"		1013
"E02004326"		382
"E02004326"		640
"E02004326"		562
"E02004326"		0
"E02004326"		76
"E02004326"		2
"E02004326"		73
"E02004327"		6302
"E02004327"		3890
"E02004327"		1650
"E02004327"		2240
"E02004327"		15
"E02004327"		1182
"E02004327"		575
"E02004327"		607
"E02004327"		1128
"E02004327"		1052
"E02004327"		0
"E02004327"		66
"E02004327"		10
"E02004327"		87
"E02004328"		7336
"E02004328"		4869
"E02004328"		1481
"E02004328"		3388
"E02004328"		12
"E02004328"		1552
"E02004328"		1425
"E02004328"		127
"E02004328"		834
"E02004328"		774
"E02004328"		3
"E02004328"		55
"E02004328"		2
"E02004328"		69
"E02004329"		6689
"E02004329"		5252
"E02004329"		1790
"E02004329"		3462
"E02004329"		11
"E02004329"		865
"E02004329"		766
"E02004329"		99
"E02004329"		500
"E02004329"		449
"E02004329"		1
"E02004329"		41
"E02004329"		9
"E02004329"		61
"E02004330"		5904
"E02004330"		4257
"E02004330"		1871
"E02004330"		2386
"E02004330"		3
"E02004330"		932
"E02004330"		584
"E02004330"		348
"E02004330"		677
"E02004330"		615
"E02004330"		2
"E02004330"		45
"E02004330"		15
"E02004330"		35
"E02004331"		6986
"E02004331"		4563
"E02004331"		1781
"E02004331"		2782
"E02004331"		4
"E02004331"		1567
"E02004331"		1238
"E02004331"		329
"E02004331"		740
"E02004331"		693
"E02004331"		10
"E02004331"		35
"E02004331"		2
"E02004331"		112
"E02004332"		7250
"E02004332"		5340
"E02004332"		2025
"E02004332"		3315
"E02004332"		12
"E02004332"		1068
"E02004332"		1000
"E02004332"		68
"E02004332"		742
"E02004332"		663
"E02004332"		14
"E02004332"		62
"E02004332"		3
"E02004332"		88
"E02004333"		7181
"E02004333"		5672
"E02004333"		2414
"E02004333"		3258
"E02004333"		19
"E02004333"		990
"E02004333"		528
"E02004333"		462
"E02004333"		448
"E02004333"		383
"E02004333"		2
"E02004333"		59
"E02004333"		4
"E02004333"		52
"E02004334"		7351
"E02004334"		5116
"E02004334"		1727
"E02004334"		3389
"E02004334"		7
"E02004334"		1391
"E02004334"		1002
"E02004334"		389
"E02004334"		805
"E02004334"		722
"E02004334"		10
"E02004334"		68
"E02004334"		5
"E02004334"		32
"E02004335"		6268
"E02004335"		3164
"E02004335"		1213
"E02004335"		1951
"E02004335"		17
"E02004335"		2075
"E02004335"		1297
"E02004335"		778
"E02004335"		967
"E02004335"		916
"E02004335"		0
"E02004335"		47
"E02004335"		4
"E02004335"		45
"E02004336"		6792
"E02004336"		4135
"E02004336"		1584
"E02004336"		2551
"E02004336"		8
"E02004336"		1741
"E02004336"		1307
"E02004336"		434
"E02004336"		855
"E02004336"		768
"E02004336"		1
"E02004336"		65
"E02004336"		21
"E02004336"		53
"E02004337"		9058
"E02004337"		6377
"E02004337"		2386
"E02004337"		3991
"E02004337"		10
"E02004337"		1529
"E02004337"		900
"E02004337"		629
"E02004337"		1042
"E02004337"		968
"E02004337"		0
"E02004337"		60
"E02004337"		14
"E02004337"		100
"E02004338"		6725
"E02004338"		4554
"E02004338"		1706
"E02004338"		2848
"E02004338"		16
"E02004338"		1122
"E02004338"		749
"E02004338"		373
"E02004338"		976
"E02004338"		903
"E02004338"		15
"E02004338"		55
"E02004338"		3
"E02004338"		57
"E02004339"		6821
"E02004339"		5634
"E02004339"		2546
"E02004339"		3088
"E02004339"		8
"E02004339"		521
"E02004339"		333
"E02004339"		188
"E02004339"		595
"E02004339"		523
"E02004339"		15
"E02004339"		50
"E02004339"		7
"E02004339"		63
"E02004340"		10239
"E02004340"		6095
"E02004340"		2358
"E02004340"		3737
"E02004340"		7
"E02004340"		2300
"E02004340"		1521
"E02004340"		779
"E02004340"		1735
"E02004340"		1636
"E02004340"		2
"E02004340"		82
"E02004340"		15
"E02004340"		102
"E02004341"		8335
"E02004341"		7043
"E02004341"		2177
"E02004341"		4866
"E02004341"		23
"E02004341"		545
"E02004341"		283
"E02004341"		262
"E02004341"		699
"E02004341"		644
"E02004341"		4
"E02004341"		42
"E02004341"		9
"E02004341"		25
"E02004342"		5839
"E02004342"		2217
"E02004342"		554
"E02004342"		1663
"E02004342"		27
"E02004342"		2469
"E02004342"		1867
"E02004342"		602
"E02004342"		1095
"E02004342"		1018
"E02004342"		0
"E02004342"		75
"E02004342"		2
"E02004342"		31
"E02004343"		5441
"E02004343"		3520
"E02004343"		1131
"E02004343"		2389
"E02004343"		13
"E02004343"		1344
"E02004343"		894
"E02004343"		450
"E02004343"		528
"E02004343"		451
"E02004343"		1
"E02004343"		68
"E02004343"		8
"E02004343"		36
"E02004344"		7034
"E02004344"		4570
"E02004344"		1823
"E02004344"		2747
"E02004344"		5
"E02004344"		1668
"E02004344"		1133
"E02004344"		535
"E02004344"		753
"E02004344"		672
"E02004344"		9
"E02004344"		65
"E02004344"		7
"E02004344"		38
"E02004345"		12608
"E02004345"		9135
"E02004345"		4619
"E02004345"		4516
"E02004345"		25
"E02004345"		1428
"E02004345"		420
"E02004345"		1008
"E02004345"		1753
"E02004345"		1570
"E02004345"		33
"E02004345"		121
"E02004345"		29
"E02004345"		267
"E02004346"		5225
"E02004346"		3501
"E02004346"		2093
"E02004346"		1408
"E02004346"		33
"E02004346"		322
"E02004346"		79
"E02004346"		243
"E02004346"		1164
"E02004346"		1047
"E02004346"		24
"E02004346"		77
"E02004346"		16
"E02004346"		205
"E02004347"		6240
"E02004347"		4382
"E02004347"		2258
