"GEOGRAPHY_CODE"	"CELL"	"OBS_VALUE"
"E00062207"		114
"E00062207"		74
"E00062207"		37
"E00062207"		37
"E00062207"		0
"E00062207"		16
"E00062207"		16
"E00062207"		0
"E00062207"		20
"E00062207"		18
"E00062207"		0
"E00062207"		2
"E00062207"		0
"E00062207"		4
"E00062208"		174
"E00062208"		129
"E00062208"		61
"E00062208"		68
"E00062208"		2
"E00062208"		1
"E00062208"		1
"E00062208"		0
"E00062208"		39
"E00062208"		23
"E00062208"		8
"E00062208"		0
"E00062208"		8
"E00062208"		3
"E00062209"		94
"E00062209"		81
"E00062209"		50
"E00062209"		31
"E00062209"		0
"E00062209"		0
"E00062209"		0
"E00062209"		0
"E00062209"		13
"E00062209"		13
"E00062209"		0
"E00062209"		0
"E00062209"		0
"E00062209"		0
"E00062210"		52
"E00062210"		32
"E00062210"		17
"E00062210"		15
"E00062210"		0
"E00062210"		6
"E00062210"		4
"E00062210"		2
"E00062210"		13
"E00062210"		11
"E00062210"		1
"E00062210"		0
"E00062210"		1
"E00062210"		1
"E00062211"		60
"E00062211"		35
"E00062211"		26
"E00062211"		9
"E00062211"		0
"E00062211"		2
"E00062211"		2
"E00062211"		0
"E00062211"		21
"E00062211"		17
"E00062211"		0
"E00062211"		3
"E00062211"		1
"E00062211"		2
"E00062212"		99
"E00062212"		60
"E00062212"		32
"E00062212"		28
"E00062212"		0
"E00062212"		3
"E00062212"		3
"E00062212"		0
"E00062212"		31
"E00062212"		25
"E00062212"		1
"E00062212"		2
"E00062212"		3
"E00062212"		5
"E00174202"		123
"E00174202"		109
"E00174202"		25
"E00174202"		84
"E00174202"		0
"E00174202"		1
"E00174202"		1
"E00174202"		0
"E00174202"		9
"E00174202"		7
"E00174202"		0
"E00174202"		1
"E00174202"		1
"E00174202"		4
"E00174206"		123
"E00174206"		99
"E00174206"		13
"E00174206"		86
"E00174206"		0
"E00174206"		0
"E00174206"		0
"E00174206"		0
"E00174206"		24
"E00174206"		23
"E00174206"		0
"E00174206"		1
"E00174206"		0
"E00174206"		0
"E00174208"		123
"E00174208"		108
"E00174208"		61
"E00174208"		47
"E00174208"		0
"E00174208"		2
"E00174208"		1
"E00174208"		1
"E00174208"		12
"E00174208"		9
"E00174208"		0
"E00174208"		2
"E00174208"		1
"E00174208"		1
"E00062202"		118
"E00062202"		106
"E00062202"		54
"E00062202"		52
"E00062202"		0
"E00062202"		1
"E00062202"		1
"E00062202"		0
"E00062202"		10
"E00062202"		9
"E00062202"		0
"E00062202"		1
"E00062202"		0
"E00062202"		1
"E00062203"		135
"E00062203"		74
"E00062203"		39
"E00062203"		35
"E00062203"		0
"E00062203"		45
"E00062203"		45
"E00062203"		0
"E00062203"		15
"E00062203"		11
"E00062203"		0
"E00062203"		4
"E00062203"		0
"E00062203"		1
"E00062204"		120
"E00062204"		112
"E00062204"		65
"E00062204"		47
"E00062204"		0
"E00062204"		1
"E00062204"		1
"E00062204"		0
"E00062204"		7
"E00062204"		7
"E00062204"		0
"E00062204"		0
"E00062204"		0
"E00062204"		0
"E00062205"		124
"E00062205"		116
"E00062205"		78
"E00062205"		38
"E00062205"		0
"E00062205"		0
"E00062205"		0
"E00062205"		0
"E00062205"		6
"E00062205"		6
"E00062205"		0
"E00062205"		0
"E00062205"		0
"E00062205"		2
"E00062206"		123
"E00062206"		117
"E00062206"		68
"E00062206"		49
"E00062206"		0
"E00062206"		0
"E00062206"		0
"E00062206"		0
"E00062206"		5
"E00062206"		4
"E00062206"		0
"E00062206"		1
"E00062206"		0
"E00062206"		1
"E00062379"		150
"E00062379"		114
"E00062379"		55
"E00062379"		59
"E00062379"		0
"E00062379"		16
"E00062379"		16
"E00062379"		0
"E00062379"		19
"E00062379"		15
"E00062379"		1
"E00062379"		3
"E00062379"		0
"E00062379"		1
"E00062380"		66
"E00062380"		49
"E00062380"		31
"E00062380"		18
"E00062380"		0
"E00062380"		4
"E00062380"		3
"E00062380"		1
"E00062380"		11
"E00062380"		7
"E00062380"		1
"E00062380"		3
"E00062380"		0
"E00062380"		2
"E00062381"		53
"E00062381"		40
"E00062381"		24
"E00062381"		16
"E00062381"		0
"E00062381"		0
"E00062381"		0
"E00062381"		0
"E00062381"		10
"E00062381"		9
"E00062381"		0
"E00062381"		1
"E00062381"		0
"E00062381"		3
"E00062382"		83
"E00062382"		61
"E00062382"		37
"E00062382"		24
"E00062382"		0
"E00062382"		3
"E00062382"		2
"E00062382"		1
"E00062382"		17
"E00062382"		16
"E00062382"		1
"E00062382"		0
"E00062382"		0
"E00062382"		2
"E00062383"		77
"E00062383"		62
"E00062383"		28
"E00062383"		34
"E00062383"		0
"E00062383"		2
"E00062383"		2
"E00062383"		0
"E00062383"		9
"E00062383"		8
"E00062383"		0
"E00062383"		1
"E00062383"		0
"E00062383"		4
"E00062384"		162
"E00062384"		116
"E00062384"		58
"E00062384"		58
"E00062384"		0
"E00062384"		30
"E00062384"		29
"E00062384"		1
"E00062384"		15
"E00062384"		12
"E00062384"		2
"E00062384"		1
"E00062384"		0
"E00062384"		1
"E00062385"		159
"E00062385"		132
"E00062385"		85
"E00062385"		47
"E00062385"		0
"E00062385"		2
"E00062385"		1
"E00062385"		1
"E00062385"		20
"E00062385"		18
"E00062385"		0
"E00062385"		2
"E00062385"		0
"E00062385"		5
"E00062386"		110
"E00062386"		95
"E00062386"		55
"E00062386"		40
"E00062386"		0
"E00062386"		3
"E00062386"		2
"E00062386"		1
"E00062386"		10
"E00062386"		8
"E00062386"		1
"E00062386"		1
"E00062386"		0
"E00062386"		2
